Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Con Style,Game Pwr,Raw Pwr,Spd,Fld,Versa,Hard Hit%,FV,PlayerId
"Jesús Made","SS","MIL",1,1,"19.2333333","40 / 60",70,60,"Oppo/Pull","35 / 60","50 / 60","50 / 45","40 / 60","2B/SS/3B",,"65","sa3024108"
"Franklin Arias","SS","BOS",2,1,"20.7027777","50 / 60",40,70,"Oppo","40 / 50","50 / 50","50 / 50","50 / 55",,,"60","sa3021845"
"Kade Anderson","SP","SEA",3,1,"22.0722222","",,,,"","","","",,,"60","sa3026056"
"Walker Jenkins","CF","MIN",4,1,"21.4527777","50 / 60",70,55,"GapToGap","35 / 50","45 / 55","50 / 50","40 / 45","OF",,"60","sa3022894"
"Max Clark","CF","DET",5,1,"21.6138888","50 / 60",55,60,"SlashAndDash","40 / 50","50 / 55","70 / 70","40 / 50",,,"60","33381"
"Leo De Vries","SS","ATH",6,1,"19.8083333","40 / 50",50,50,"Pull","50 / 60","45 / 60","50 / 50","40 / 50",,0.407,"60","sa3023363"
"Eli Willits","SS","WSN",7,1,"18.6472222","25 / 60",50,60,"InsideOut","20 / 45","35 / 45","60 / 60","45 / 60",,,"60","sa3069164"
"Seth Hernandez","SP","PIT",8,1,"20.0944444","",,,,"","","","",,,"60","sa3069247"
"Thomas White","SP","MIA",9,1,"21.8416666","",,,,"","","","",,,"60","sa3023268"
"Ryan Sloan","SP","SEA",10,2,"20.5083333","",,,,"","","","",,,"55","sa3067131"
"Angel Genao","SS","CLE",11,1,"22.2027777","40 / 50",60,50,"GapToGap","40 / 50","45 / 50","60 / 60","40 / 50","SS/3B",,"55","sa3015706"
"Ethan Salas","C","SDP",12,1,"20.1694444","30 / 40",40,50,"GapToGap","30 / 55","45 / 55","50 / 40","45 / 70",,,"55","sa3020881"
"Sebastian Walcott","SS","TEX",13,1,"20.3833333","30 / 45",50,40,"Pull","45 / 60","55 / 70","50 / 50","40 / 50","SS/3B",,"55","sa3021069"
"Vahn Lackey","C","MIN",14,2,"21.0694444","35 / 55",60,55,"PoleToPole","30 / 55","50 / 60","60 / 50","45 / 55",,,"55","sa3035829"
"Grady Emerson","SS","TBR",15,1,"18.4472222","25 / 60",70,55,"GapToGap","20 / 40","45 / 50","55 / 55","45 / 55","3B/SS",,"55","sa3077867"
"Theo Gillen","CF","TBR",16,2,"20.8888888","35 / 50",60,55,"PoleToPole","30 / 55","55 / 60","60 / 55","40 / 45","OF",,"55","sa3025565"
"Josue De Paula","RF","LAD",17,1,"21.1888888","30 / 45",70,40,"PoleToPole","30 / 60","55 / 70","30 / 40","20 / 40","LF/RF",0.51,"55","sa3018591"
"George Lombard Jr.","SS","NYY",18,1,"21.1666666","30 / 40",50,40,"GapToGap","35 / 50","50 / 55","55 / 55","50 / 60","SS/3B",,"55","sa3023233"
"Roch Cholowsky","SS","CHW",19,1,"21.325","30 / 40",45,50,"PoleToPole","35 / 55","55 / 60","50 / 50","60 / 70",,,"55","sa3028866"
"Alfredo Duno","C","CIN",20,1,"20.5694444","30 / 40",60,30,"PoleToPole","35 / 65","60 / 70","50 / 40","40 / 60",,,"55","sa3021066"
"Gage Wood","SP","PHI",21,1,"22.6305555","",,,,"","","","",,,"55","sa3045536"
"River Ryan","SP","DET",22,2,"27.9583333","",,,,"","","","",,,"55","29514"
"Mike Sirota","CF","LAD",23,2,"23.1277777","30 / 45",60,40,"InsideOut","35 / 60","60 / 60","60 / 60","30 / 40","OF",0.59,"55","sa3042374"
"Rainiel Rodriguez","C","STL",24,1,"19.5777777","35 / 50",40,60,"PoleToPole","35 / 55","55 / 60","45 / 40","40 / 60",,,"55","sa3023987"
"Bryce Rainer","SS","DET",25,3,"21.0805555","30 / 40",50,40,"InsideOut","35 / 60","50 / 60","55 / 55","40 / 55",,,"55","sa3066592"
"Luis Peña","SS","MIL",26,2,"19.7194444","30 / 50",40,50,"PoleToPole","30 / 60","50 / 60","60 / 60","30 / 40","2B/SS/3B",,"55","sa3024134"
"Anthony Eyanson","SP","BOS",27,2,"21.8138888","",,,,"","","","",,,"55","sa3031104"
"Liam Doyle","SP","STL",28,2,"22.1638888","",,,,"","","","",,,"55","sa3030545"
"Aidan Miller","SS","PHI",29,2,"22.1472222","40 / 50",60,50,"Pull","45 / 60","55 / 60","55 / 55","30 / 40",,,"55","sa3022609"
"Jarlin Susana","SP","WSN",30,2,"22.3583333","",,,,"","","","",,,"55","sa3018808"
"Josuar Gonzalez","SS","SFG",31,1,"18.7944444","30 / 50",50,45,"GapToGap","20 / 55","45 / 55","60 / 60","50 / 60","SS/CF",,"50","sa3067675"
"Caden Bodine","C","TBR",32,3,"22.6666666","55 / 70",50,70,"Pull/Oppo","30 / 45","45 / 45","30 / 30","30 / 45",,,"50","sa3027305"
"Eric Hartman","CF","ATL",33,1,"20.1277777","20 / 40",45,45,"Pull","25 / 40","35 / 45","70 / 70","40 / 55",,0.456,"50","sa3067040"
"Jackson Flora","SP","SFG",34,2,"21.1861111","",,,,"","","","",,,"50","sa3031459"
"Kaelen Culpepper","SS","MIN",35,3,"23.5916666","40 / 45",35,50,"GapToGap","45 / 55","55 / 55","55 / 55","50 / 60","2B/3B/SS",,"50","sa3025360"
