Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,Sits,Tops,FV,PlayerId
"Konnor Griffin","SS","PIT",1,1,"20.15",,,"","","","","",,,"70","35376"
"Jesús Made","SS","MIL",2,1,"19.1111111",,,"","","","","",,,"65","sa3024108"
"Nolan McLean","SP","NYM",3,1,"24.9",,"Tail","55 / 60","70 / 70","80 / 80","55 / 55","45 / 55","94-97","98","65","33703"
"Samuel Basallo","C","BAL",4,1,"21.8472222",,,"","","","","",,,"65","28824"
"Kevin McGonigle","3B","DET",5,1,"21.8333333",,,"","","","","",,,"60","33572"
"Leo De Vries","SS","ATH",6,1,"19.6861111",,,"","","","","",,,"60","sa3023363"
"Max Clark","CF","DET",7,2,"21.4916666",,,"","","","","",,,"60","sa3022683"
"Franklin Arias","SS","BOS",8,1,"20.5805555",,,"","","","","",,,"60","sa3021845"
"Trey Yesavage","SP","TOR",9,1,"22.8888888",,"Rise/Downh","60 / 60","55 / 60","","","40 / 50","93-96","97","60","35456"
"Bubba Chandler","SP","PIT",10,2,"23.7611111",,"Rise","70 / 70","45 / 50","","55 / 70","40 / 45","96-99","102","60","29868"
"Thomas White","SP","MIA",11,1,"21.7194444",,"Rise","60 / 60","60 / 70","","50 / 60","30 / 40","94-97","100","60","sa3023268"
"Seth Hernandez","SP","PIT",12,3,"19.9722222",,"None","55 / 70","45 / 55","","55 / 70","20 / 40","95-99","100","60","sa3069247"
"Colt Emerson","SS","SEA",13,1,"20.9111111",,,"","","","","",,,"55","33575"
"JJ Wetherholt","2B","STL",14,1,"23.7722222",,,"","","","","",,,"55","34985"
"Eli Willits","SS","WSN",15,1,"18.525",,,"","","","","",,,"55","sa3069164"
"Chase DeLauter","RF","CLE",16,1,"24.6944444",,,"","","","","",,,"55","32127"
"Payton Tolle","SP","BOS",17,2,"23.6305555",,"Rise/Uphil","80 / 80","","45 / 45","50 / 55","50 / 55","93-97","101","55","35466"
"River Ryan","SP","LAD",18,1,"27.8361111","8/15/24","Rise","60 / 60","55 / 60","55 / 60","40 / 50","40 / 45","95-98","100","55","29514"
"Ryan Sloan","SP","SEA",19,2,"20.3861111",,"Rise/Tail","55 / 60","50 / 60","","","40 / 55","94-97","99","55","sa3067131"
"Bryce Eldridge","1B","SFG",20,1,"21.6611111",,,"","","","","",,,"55","33390"
"Andrew Painter","SP","PHI",21,1,"23.1888888","7/25/23","Downhill","40 / 50","55 / 55","55 / 60","45 / 55","45 / 60","94-98","100","55","30091"
"Josue De Paula","RF","LAD",22,2,"21.0666666",,,"","","","","",,,"55","sa3018591"
