"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","H/AB","R","HR","RBI","SO","SB","AVG","OPS","GP"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","1","DOB","Active","31","@CHW Sun 2:10PM","105.61","100%","0%","75/246","50","14","41","67","6",".305",".979","68"
"*04355*","Yordan Alvarez","HOU","OF","3","PAW","Active","28","@KC Sun 2:10PM","100","100%","0%","84/257","49","24","54","53","1",".327","1.093","71"
"*05gbf*","Jordan Walker","STL","OF","5","BOS","Active","24","@MIN Sun 2:10PM","98.84","96%","0%","79/265","46","18","56","72","10",".298",".915","67"
"*05rat*","James Wood","WSH","OF","6","45s","Active","23","SEA Sun 1:35PM","97.72","100%","0%","74/270","64","19","44","98","13",".274",".949","71"
"*04qk8*","CJ Abrams","WSH","SS","7","AKR","Active","25","SEA Sun 1:35PM","96.93","100%","0%","74/254","45","14","53","60","10",".291",".903","69"
"*04ru7*","Miguel Vargas","CHW","1B,3B","8","SSP","Active","26","LAD Sun 2:10PM","96.29","98%","0%","61/247","50","16","44","49","9",".247",".865","68"
"*01ub6*","Jose Ramirez","CLE","3B","10","SUGA","Reserve","33","DET Sun 1:40PM","95.62","100%","0%","64/268","42","10","33","44","24",".239",".757","72"
"*02mwm*","Matt Olson","ATL","1B","13","DOB","Active","32","@NYM Sun 1:40PM","94.87","100%","0%","74/274","51","20","51","71","2",".270",".899","70"
"*04ru5*","Andy Pages","LAD","OF","14","ALASKA","Active","25","@CHW Sun 2:10PM","94.31","99%","0%","75/270","42","15","56","59","7",".278",".832","70"
"*05ynb*","Liam Hicks","MIA","C,1B","15","AKR","Active","27","@PIT Sun 12:15PM","93.61","90%","0%","62/228","38","13","51","24","1",".272",".835","69"
"*03zlh*","Oneil Cruz","PIT","OF","16","DOB","Reserve","27","MIA Sun 12:15PM","93.43","100%","0%","66/250","45","14","44","98","21",".264",".822","65"
"*05yo5*","Ben Rice","NYY","C,1B","17","45s","Active","27","@TOR Sun 1:37PM","91.99","100%","0%","68/234","50","18","45","63","2",".291",".989","64"
"*04lgp*","Bobby Witt Jr.","KC","SS","18","DOB","Active","25","HOU Sun 2:10PM","91.62","100%","0%","80/282","35","9","28","56","24",".284",".810","71"
"*062k5*","Nick Kurtz","ATH","1B","21","Rome","Active","23","COL Sun 3:05PM","91.39","100%","0%","71/249","48","16","50","91","7",".285",".971","69"
"*040b5*","Randy Arozarena","SEA","OF","22","ALASKA","Active","31","@WSH Sun 1:35PM","90.8","99%","0%","76/261","47","7","33","66","19",".291",".826","72"
"*03120*","Cody Bellinger","NYY","OF","25","45s","Active","30","@TOR Sun 1:37PM","90.18","100%","0%","67/248","41","10","45","37","8",".270",".839","68"
"*02i2k*","Byron Buxton","MIN","OF","26","PAW","Active","32","STL Sun 2:10PM","89.74","100%","0%","66/245","47","22","34","70","6",".269",".927","61"
"*04o4s*","Shea Langeliers","ATH","C","27","Rome","Active","28","COL Sun 3:05PM","89.7","100%","0%","75/267","46","18","36","57","1",".281",".883","64"
"*01fh9*","Bryce Harper","PHI","1B","31","45s","Active","33","@MIL Sun 2:10PM","88.74","100%","0%","63/242","46","15","39","55","5",".260",".873","70"
"*05jr0*","Alec Burleson","STL","1B,OF","33","SSP","Active","27","@MIN Sun 2:10PM","88.72","99%","0%","76/264","38","12","50","45","2",".288",".842","67"
"*04b00*","Brice Turang","MIL","2B","34","PAW","Active","26","PHI Sun 2:10PM","88.63","100%","0%","64/245","53","10","42","73","12",".261",".835","66"
"*02mw3*","Christian Walker","HOU","1B","36","KCP","Active","35","@KC Sun 2:10PM","88.35","99%","0%","66/267","41","18","52","64","0",".247",".821","71"
"*04tjl*","Otto Lopez","MIA","2B,SS","37","45s","Active","27","@PIT Sun 12:15PM","88.25","98%","0%","96/278","43","5","31","45","13",".345",".859","71"
"*041pz*","Pete Alonso","BAL","1B","39","GOATS","Active","31","SD Sun 1:35PM","87.77","100%","0%","69/274","44","16","48","70","2",".252",".808","71"
"*05u9o*","Sal Stewart","CIN","1B,3B","40","PAW","Active","22","ARI Sun 1:40PM","87.34","99%","0%","64/259","36","13","42","62","10",".247",".793","69"
"*03m6o*","Yandy Diaz","TB","1B","41","GOATS","Active","34","@LAA Sun 4:07PM","87.15","99%","0%","80/246","34","12","46","34","1",".325",".927","64"
"*05gx4*","Dillon Dingler","DET","C","42","MN","Active","27","@CLE Sun 1:40PM","86.95","94%","+1%","60/236","33","16","50","55","0",".254",".855","64"
"*051wv*","Pete Crow-Armstrong","CHC","OF","43","KCP","Active","24","@SF Sun 3:10PM","86.71","100%","0%","70/266","42","12","33","76","15",".263",".804","71"
"*04n8z*","Xavier Edwards","MIA","2B,SS","47","GOATS","Active","26","@PIT Sun 12:15PM","85.69","99%","0%","78/260","43","6","24","36","11",".300",".826","71"
"*03fi0*","Ozzie Albies","ATL","2B","48","SUGA","Active","29","@NYM Sun 1:40PM","85.55","99%","0%","76/268","45","10","37","36","1",".284",".783","70"
"*0630d*","Drake Baldwin","ATL","C","49","PAW","Inj Res","25","@NYM Sun 1:40PM","85.37","99%","0%","57/188","39","13","38","44","1",".303",".931","48"
"*04y4e*","Corbin Carroll","ARI","OF","50","45s","Active","25","@CIN Sun 1:40PM","85.25","100%","0%","70/248","43","12","34","62","8",".282",".925","67"
"*04fhb*","Julio Rodriguez","SEA","OF","51","GOATS","Active","25","@WSH Sun 1:35PM","84.9","100%","0%","73/290","39","13","34","65","9",".252",".749","72"
"*03yrz*","William Contreras","MIL","C","57","MN","Active","28","PHI Sun 2:10PM","83.86","100%","0%","74/254","39","6","43","37","1",".291",".755","65"
"*05jp4*","Casey Schmitt","SF","1B,2B,3B,OF","60","SUGA","Active","27","CHC Sun 3:10PM","83.46","89%","0%","69/254","31","15","38","54","5",".272",".805","64"
"*05u2v*","Hunter Goodman","COL","C","61","SUGA","Active","26","@ATH Sun 3:05PM","83.42","99%","0%","58/246","41","18","33","95","5",".236",".810","65"
"*03qjy*","Brandon Lowe","PIT","2B","62","PAW","Active","31","MIA Sun 12:15PM","83.4","99%","0%","61/249","43","17","46","70","0",".245",".853","65"
"*0316v*","Jake Bauers","MIL","1B,OF","64","SUGA","Active","30","PHI Sun 2:10PM","83.27","86%","+1%","58/210","40","13","46","58","5",".276",".894","60"
