"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","IP","ERA","WHIP","K","L","QS","K/BB","SVH","H/AB","R","RBI","HR","SB","SO","AVG","OPS","GP"
"*061yu*","Jacob Misiorowski","MIL","SP","2","45s","Reserve","24","PHI Sun 2:10PM","100","100%","0%","87","1.34","0.736","131","2","9","5.95","0","0/0","0","0","0","0","0","0",".000","14"
"*052c8*","Cristopher Sanchez","PHI","SP","4","PAW","Reserve","29","@MIL Sun 2:10PM","99.58","100%","0%","93.1","1.54","1.061","113","2","11","6.28","0","0/0","0","0","0","0","0","0",".000","14"
"*05u6q*","Cam Schlittler","NYY","SP","9","45s","Reserve","25","@TOR Sun 1:37PM","95.65","99%","0%","89","1.82","0.910","96","3","9","5.33","0","0/0","0","0","0","0","0","0",".000","15"
"*05ucd*","Mason Miller","SD","RP","11","45s","Active","27","@BAL Sun 1:35PM","95.09","99%","0%","28.2","0.94","0.837","56","1","0","4.67","18","0/0","0","0","0","0","0","0",".000","28"
"*05rb3*","Chase Burns","CIN","SP","12","Rome","Reserve","23","ARI Sun 1:40PM","94.9","100%","0%","75.2","2.14","0.991","88","1","8","3.83","0","0/0","0","0","0","0","0","0",".000","13"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","19","Rome","Active","27","@CHW Sun 2:10PM","91.53","100%","0%","85.2","2.52","0.840","80","4","10","5.33","0","0/0","0","0","0","0","0","0",".000","13"
"*04eor*","Cade Smith","CLE","RP","20","DOB","Active","27","DET Sun 1:40PM","91.52","99%","0%","32.2","2.48","1.041","49","0","0","8.17","23","0/0","0","0","0","0","0","0",".000","31"
"*04ps7*","Joe Ryan","MIN","SP","23","45s","Reserve","30","STL Sun 2:10PM","90.43","99%","0%","82.1","3.17","0.996","92","3","9","5.75","0","0/0","0","0","0","0","0","0",".000","15"
"*04pxf*","Davis Martin","CHW","SP","24","ALASKA","Active","29","LAD Sun 2:10PM","90.26","93%","0%","78.1","2.41","1.098","79","2","9","4.65","0","0/0","0","0","0","0","0","0",".000","13"
"*04eee*","Drew Rasmussen","TB","SP","28","AKR","Reserve","30","@LAA Sun 4:07PM","89.13","99%","0%","73","2.71","0.877","77","2","7","5.92","0","0/0","0","0","0","0","0","0",".000","13"
"*0510l*","Emerson Hancock","SEA","SP","29","ALASKA","Reserve","27","@WSH Sun 1:35PM","88.9","89%","0%","75.2","2.74","0.952","73","2","8","4.29","0","0/0","0","0","0","0","0","0",".000","13"
"*051bm*","Louis Varland","TOR","RP","30","DOB","Active","28","NYY Sun 1:37PM","88.77","87%","0%","37.2","0.96","0.982","49","2","0","4.90","17","0/0","0","0","0","0","0","0",".000","34"
"*01uca*","Chris Sale","ATL","SP","32","DOB","Reserve","37","@NYM Sun 1:40PM","88.73","100%","0%","78.1","2.30","1.047","92","5","9","4.60","0","0/0","0","0","0","0","0","0",".000","13"
"*041vm*","Dylan Lee","ATL","RP","35","PAW","Active","31","@NYM Sun 1:40PM","88.4","57%","+1%","31.2","1.14","0.632","40","0","0","8.00","14","0/0","0","0","0","0","0","0",".000","33"
"*05jp9*","Bryce Elder","ATL","SP","38","DOB","Active","27","@NYM Sun 1:40PM","88.1","91%","0%","84.2","2.66","1.051","71","3","10","2.84","0","0/0","0","0","0","0","0","0",".000","14"
"*04pxo*","Erik Sabrowski","CLE","RP","44","GOATS","Reserve","28","DET Sun 1:40PM","86.56","57%","-1%","21","1.71","0.952","39","1","0","3.00","17","0/0","0","0","0","0","0","0",".000","25"
"*05a2d*","Max Meyer","MIA","SP","45","Rome","Active","27","@PIT Sun 12:15PM","86.42","94%","0%","79","2.85","1.089","86","0","4","2.97","0","0/0","0","0","0","0","0","0",".000","14"
"*04pmq*","Braxton Ashcraft","PIT","SP,RP","46","ALASKA","Active","26","MIA Sun 12:15PM","86.42","97%","0%","84.2","3.30","1.098","90","3","8","4.74","0","0/0","0","0","0","0","0","0",".000","14"
"*01sb3*","Zack Wheeler","PHI","SP","52","45s","Reserve","36","@MIL Sun 2:10PM","84.89","99%","0%","56.2","2.22","0.847","53","1","7","4.42","0","0/0","0","0","0","0","0","0",".000","9"
"*02hi7*","Kevin Gausman","TOR","SP","53","DOB","Reserve","35","NYY Sun 1:37PM","84.6","99%","0%","87","3.41","1.034","86","4","8","5.38","0","0/0","0","0","0","0","0","0",".000","15"
"*041w4*","Bryan Baker","TB","RP","54","GOATS","Active","31","@LAA Sun 4:07PM","84.06","85%","0%","27.1","1.98","0.988","30","0","0","2.73","19","0/0","0","0","0","0","0","0",".000","29"
"*05jp7*","Gavin Williams","CLE","SP","55","45s","Active","26","DET Sun 1:40PM","83.99","99%","0%","86.2","3.32","1.096","99","3","6","3.54","0","0/0","0","0","0","0","0","0",".000","14"
"*03pjf*","Michael Soroka","ARI","SP","56","DOB","Reserve","28","@CIN Sun 1:40PM","83.92","91%","0%","81","3.11","1.074","79","3","7","4.65","0","0/0","0","0","0","0","0","0",".000","14"
"*05wru*","Paul Skenes","PIT","SP","58","DOB","Active","24","MIA Sun 12:15PM","83.83","100%","0%","76","2.84","0.934","89","5","6","5.93","0","0/0","0","0","0","0","0","0",".000","14"
"*02hjp*","Jacob deGrom","TEX","SP","59","KCP","Active","37","@BOS Sun 7:20PM","83.72","100%","0%","76.2","3.17","0.991","89","4","6","5.93","0","0/0","0","0","0","0","0","0",".000","14"
"*03df2*","Dylan Cease","TOR","SP","63","45s","Reserve","30","NYY Sun 1:37PM","83.39","100%","0%","68","2.91","1.162","103","3","5","3.81","0","0/0","0","0","0","0","0","0",".000","12"
"*05js3*","Kyle Harrison","MIL","SP","70","45s","Active","24","PHI Sun 2:10PM","82.59","92%","0%","59.2","2.72","1.156","77","1","4","4.28","0","0/0","0","0","0","0","0","0",".000","12"
"*066er*","Grant Taylor","CHW","SP,RP","73","45s","Active","24","LAD Sun 2:10PM","82.17","72%","+3%","34.2","1.82","1.038","51","0","0","5.67","6","0/0","0","0","0","0","0","0",".000","26"
"*04o2w*","Ben Brown","CHC","SP,RP","77","45s","Reserve","26","@SF Sun 3:10PM","81.33","84%","+1%","62","1.74","0.968","61","2","2","3.21","3","0/0","0","0","0","0","0","0",".000","19"
"*05tzn*","Parker Messick","CLE","SP","78","SSP","Active","25","DET Sun 1:40PM","81.31","98%","0%","80.2","2.68","1.091","82","3","4","3.28","0","0/0","0","0","0","0","0","0",".000","14"
"*04c0o*","Jose Soriano","LAA","SP","80","45s","Reserve","27","TB Sun 4:07PM","81.23","98%","0%","87","2.79","1.230","92","4","6","2.19","0","0/0","0","0","0","0","0","0",".000","15"
"*03caf*","Foster Griffin","WSH","SP,RP","84","GOATS","Reserve","30","SEA Sun 1:35PM","80.94","86%","+1%","78","3.46","1.090","74","2","6","3.52","0","0/0","0","0","0","0","0","0",".000","14"
"*04apj*","Jhoan Duran","PHI","RP","85","DOB","Active","28","@MIL Sun 2:10PM","80.94","99%","0%","23.2","1.90","0.972","35","3","0","7.00","18","0/0","0","0","0","0","0","0",".000","25"
