Tier,Rk,Player,Pos,Team,Level,Age,ETA,Min,Max,App,Var,High,Low,Greg,Kyle,Lucas,PJ,Tom
1,1,Jesus Made,SS,MIL,AA,19.1,2026 Late,1,1,5,0.0,Tie,Tie,1,1,1,1,1
1,2,Leo De Vries,SS,ATH,AA,19.7,2027 Early,2,3,5,5.0,Tie,Tom,2,2,2,2,3
2,3,Colt Emerson,"3B,SS",SEA,MLB,20.9,2026 Early,2,4,5,8.4,Tom,Tie,4,3,4,3,2
2,4,Josue De Paula,OF,LAD,AA,21.1,2026 Late,3,8,5,18.9,Tie,PJ,3,4,3,8,4
2,5,Kade Anderson,P,SEA,AA,22.0,2026 Late,5,10,5,18.6,Tie,Greg,10,5,5,5,5
2,6,Seth Hernandez,P,PIT,A+,20.0,2028 Late,6,8,5,6.9,PJ,Tie,8,7,8,6,8
2,7,Franklin Arias,SS,BOS,AA,20.6,2027 Mid,5,20,5,44.4,Greg,PJ,5,14,6,20,9
2,8,Ryan Sloan,P,SEA,AA,20.4,2027 Late,6,21,5,41.1,Tie,PJ,6,6,12,21,10
2,9,Rainiel Rodriguez,C,STL,AA,19.5,2028 Late,9,21,5,1.2,Kyle,Greg,21,9,14,10,13
2,10,Joshua Baez,OF,STL,AAA,23.0,2026 Mid,6,19,5,33.9,Tom,Greg,19,15,7,16,6
2,11,Eduardo Quintero,OF,LAD,A+,20.8,2027 Mid,8,28,5,41.7,Kyle,Lucas,13,8,28,13,16
2,12,Theo Gillen,OF,TBR,A+,20.8,2027 Late,9,28,5,44.6,Tie,PJ,9,13,9,28,22
3,13,Mike Sirota,OF,LAD,AA,23.0,2027 Late,11,17,5,0.6,Tom,Greg,17,16,13,15,11
3,14,Max Clark,OF,DET,AAA,21.5,2026 Early,10,19,5,16.7,Kyle,PJ,18,10,15,19,15
3,15,Edward Florentino,OF,PIT,A+,19.6,2028 Mid,7,23,5,30.7,PJ,Lucas,12,22,23,7,17
3,16,Luis Pena,"2B,SS",MIL,A+,19.6,2028 Early,7,41,5,57.4,Tom,Lucas,11,20,41,17,7
3,17,Eli Willits,SS,WSN,A+,18.5,2029 Early,14,38,5,41.3,Tom,PJ,15,19,17,38,14
3,18,Ryan Waldschmidt,OF,ARI,MLB,23.7,2026 Mid,11,31,5,34.9,Lucas,Tom,26,12,11,18,31
3,19,Sebastian Walcott,SS,TEX,AA,20.3,2026 Late,9,30,5,31.1,PJ,Lucas,14,23,30,9,19
3,20,Zyhir Hope,OF,LAD,AA,21.4,2026 Late,11,32,5,30.8,Kyle,Greg,32,11,19,29,23
3,21,Caleb Bonemer,"3B,SS",CHW,AA,20.7,2028 Late,18,43,5,41.4,Lucas,PJ,20,21,18,43,38
3,22,Eric Hartman,"OF,2B",ATL,A+,20.0,2028 Mid,22,32,5,14.2,Tie,Kyle,22,32,25,22,24
3,23,Kaelen Culpepper,SS,MIN,AAA,23.5,2026 Mid,12,47,5,45.4,Tom,PJ,24,28,16,47,12
3,24,JoJo Parker,SS,TOR,A,19.9,2028 Late,17,37,5,24.1,Kyle,PJ,25,17,22,37,28
3,25,George Lombard Jr.,SS,NYY,AAA,21.1,2026 Mid,20,37,5,26.6,Tom,Tie,37,37,21,24,20
3,26,Ralphy Velazquez,1B,CLE,AAA,21.1,2026 Late,14,33,5,24.5,PJ,Greg,33,18,27,14,30
3,27,Devin Fitz-Gerald,SS,WSN,AA,20.9,2028 Mid,21,30,5,10.3,Tom,PJ,27,27,29,30,21
3,28,Josiah Hartshorn,"OF,1B",CHC,A+,19.4,2029 Late,24,56,5,3.5,Lucas,Greg,56,41,24,26,25
3,29,Walker Jenkins,OF,MIN,AAA,21.3,2026 Early,26,35,5,10.2,Kyle,Lucas,30,26,35,27,32
3,30,Josuar De Jesus Gonzalez,SS,SFG,CPX,18.7,2029 Late,16,39,5,2.4,Greg,Tie,16,30,39,39,29
3,31,Braden Montgomery,OF,CHW,MLB,23.2,2026 Mid,23,49,5,25.1,PJ,Tom,31,31,34,23,49
4,32,Gage Jump,P,ATH,MLB,23.2,2026 Mid,20,51,5,3.1,Lucas,Tom,46,35,20,31,51
4,33,Luis Hernandez,SS,SFG,CPX,17.5,2029 Mid,11,59,5,4.4,PJ,Lucas,45,36,59,11,35
4,34,A.J. Ewing,OF,NYM,MLB,21.9,2026 Mid,10,80,5,7.2,Lucas,Tom,39,44,10,12,80
