#,Name,Age,Level,Team,Pos,Avg Rank,Coverage,Consensus,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt,LFX
"1","Eli Willits","18","A+","WSN","SS","10.9","8","Tight","8","9","3","9","1","10","43","4"
"2","Josue De Paula","21","AA","LAD","RF","16.8","8","Tight","5","41","10","10","11","4","51","2"
"3","Theo Gillen","20","AA","TBR","CF","17.7","8","Tight","7","44","11","4","4","8","57","7"
"4","Aidan Miller","22","AAA","PHI","SS","","3","","","3","","","23","","","29"
"5","Luis Lara","21","MLB","MIL","CF","19.0","7","Tight","2","","4","6","18","31","26","46"
"6","Miguel Hernandez","18","A","STL","3B","","2","","","","","","45","","6",""
"7","Jesus Made","19","AA","MIL","SS","29.8","8","Moderate","16","7","13","5","8","2","","1"
"8","Franklin Arias","20","AAA","BOS","SS","34.6","8","Moderate","3","","5","1","13","1","75","6"
"9","Walker Jenkins","21","AAA","MIN","CF","39.0","8","Tight","59","38","42","15","14","5","","9"
"10","Tate Southisene","19","AA","ATL","SS","41.1","7","Tight","24","","14","2","64","58","76","50"
"11","Leo De Vries","19","AA","ATH","SS","42.1","8","Moderate","4","58","6","11","9","14","","3"
"12","Eduardo Quintero","20","A+","LAD","CF","45.4","8","Tight","42","17","53","60","24","68","85","14"
"13","Luke Adams","22","AAA","MIL","1B","47.3","8","Tight","15","","33","17","2","6","","98"
"14","Pedro Ramirez","22","MLB","CHC","3B","47.4","7","Tight","30","","37","18","38","3","82",""
"15","Juneiker Caceres","18","A+","CLE","RF","50.3","8","Tight","43","53","51","7","20","23","","37"
"16","Josh Adamczewski","21","AA","MIL","SS","51.8","8","Tight","70","65","34","14","48","17","","43"
"17","George Lombard Jr.","21","AAA","NYY","SS","55.8","8","Moderate","29","","18","25","49","11","84","20"
"18","Max Clark","21","MLB","DET","CF","62.1","6","Moderate","6","","22","","15","","","8"
"19","Braylon Payne","19","A+","MIL","CF","63.4","8","Tight","11","18","20","92","27","73","","90"
"20","Josiah Hartshorn","19","A+","CHC","RF","64.0","7","Moderate","45","","29","29","31","28","","25"
"21","Mike Sirota","23","AA","LAD","CF","67.1","8","Tight","68","80","","47","47","44","93","5"
"22","Sean Keys","23","MLB","TOR","3B","68.1","7","Tight","56","","41","50","34","7","",""
"23","Eric Hartman","20","A+","ATL","CF","68.2","8","Moderate","12","12","12","45","33","57","","23"
"24","Cooper Pratt","21","MLB","MIL","SS","72.1","7","Tight","31","","58","33","52","67","","56"
"25","Caleb Bonemer","20","AA","CHW","3B","76.1","8","Split","21","57","8","22","5","37","","12"
