day,mlbam_id,name,role,level,score_030,score_031,delta,rank_030,rank_031,class,continuity_floor_applied,arm_b_buckets
2026-07-23,816113,Eli Willits,hitter,A+,67.55,67.96,0.41,2,2,unintended,False,
2026-07-23,815394,Theo Gillen,hitter,AA,39.38,40.18,0.8,46,42,unintended,False,
2026-07-23,815785,Braylon Doughty,pitcher,AA,33.89,34.73,0.84,69,62,unintended,False,
2026-07-23,703596,Karson Milbrandt,pitcher,AAA,30.34,34.67,4.33,109,63,unintended,False,moderate_thin_sample_confidence
2026-07-23,815352,Caleb Bonemer,hitter,AA,33.32,33.98,0.66,76,69,unintended,False,
2026-07-23,803849,Devin Fitz-Gerald,hitter,AA,29.46,33.72,4.26,130,75,unintended,False,
2026-07-23,694211,Manuel Pena,hitter,AAA,26.33,33.39,7.06,210,78,unintended,False,
2026-07-23,800611,Noble Meyer,pitcher,A,26.26,33.28,7.02,213,80,intended,True,thin_current_sample_confidence
2026-07-23,815792,Chase Harlan,hitter,A+,30.99,31.85,0.86,101,95,unintended,False,
2026-07-23,814409,Seaver King,hitter,AAA,31.73,31.83,0.1,91,96,unintended,False,
2026-07-23,695667,Ben Kudrna,pitcher,AAA,14.53,31.2,16.67,840,103,intended,True,thin_current_sample_confidence
2026-07-23,815304,Josh Adamczewski,hitter,AA,24.38,30.96,6.58,264,108,unintended,False,
2026-07-23,816111,Tate Southisene,hitter,A+,30.45,30.75,0.3,105,110,unintended,False,
2026-07-23,809100,Ixan Henderson,pitcher,A,19.16,30.73,11.57,526,111,intended,True,thin_current_sample_confidence
2026-07-23,703197,Michael Arroyo,hitter,AAA,15.12,29.37,14.25,785,138,unintended,False,
2026-07-23,700164,Bryant Betancourt,hitter,AAA,14.7,29.02,14.32,820,147,unintended,False,
2026-07-23,802126,Joe Whitman,pitcher,AAA,27.7,28.76,1.06,171,155,unintended,False,
2026-07-23,806957,Alfredo Duno,hitter,AA,14.87,28.51,13.64,803,162,unintended,False,
2026-07-23,702484,Jackson Cox,pitcher,AA,26.76,28.27,1.51,200,166,unintended,False,
2026-07-23,828137,Miguel Sime Jr.,pitcher,A+,27.26,27.39,0.13,181,188,unintended,False,
2026-07-23,805207,Caden Bodine,hitter,AA,26.38,26.9,0.52,208,204,unintended,False,
2026-07-23,815873,Sean Keys,hitter,AAA,15.92,26.39,10.47,725,217,unintended,False,
2026-07-23,702650,Michael Forret,pitcher,AAA,22.4,26.13,3.73,350,226,unintended,False,
2026-07-23,694370,Levi Wells,pitcher,AAA,26.1,26.12,0.02,220,227,unintended,False,thin_current_sample_confidence
2026-07-23,815929,Jhonny Level,hitter,A+,23.76,25.84,2.08,285,238,unintended,False,
2026-07-23,800537,Christian Zazueta,pitcher,AA,19.11,25.61,6.5,529,245,unintended,False,moderate_thin_sample_confidence
2026-07-23,803833,Garrett Baumann,pitcher,AAA,21.38,25.45,4.07,405,250,unintended,False,
2026-07-23,691641,Jose Acuna,pitcher,AAA,18.0,25.39,7.39,598,253,unintended,False,
2026-07-23,830402,Kendry Chourio,pitcher,A+,17.81,25.29,7.48,612,258,unintended,False,moderate_thin_sample_confidence
2026-07-23,814351,Lucas Braun,pitcher,AAA,22.65,25.11,2.46,332,261,unintended,False,
2026-07-23,702652,Andrew Fischer,hitter,AA,23.99,24.55,0.56,276,274,unintended,False,
2026-07-23,800540,Hector Osorio,hitter,A+,21.24,24.34,3.1,409,280,unintended,False,
2026-07-23,683363,Matt Wilkinson,pitcher,AAA,18.69,24.02,5.33,560,289,unintended,False,moderate_thin_sample_confidence
2026-07-23,805796,Arjun Nimmala,hitter,AA,23.55,23.66,0.11,292,301,unintended,False,moderate_thin_sample_confidence
2026-07-23,702619,Luke Hill,hitter,AA,14.86,23.5,8.64,807,309,unintended,False,moderate_thin_sample_confidence
2026-07-23,808087,Junior Sanchez,pitcher,AA,19.5,23.49,3.99,503,312,unintended,False,moderate_thin_sample_confidence
2026-07-23,701339,Marek Houston,hitter,AA,22.47,23.16,0.69,345,328,unintended,False,
2026-07-23,815617,Kayson Cunningham,hitter,A+,22.7,23.12,0.42,331,331,unintended,False,
2026-07-23,808129,Juan Flores,hitter,AA,12.24,22.91,10.67,1032,343,unintended,False,moderate_thin_sample_confidence
2026-07-23,694753,Khristian Curtis,pitcher,AAA,17.17,22.77,5.6,653,346,unintended,False,
2026-07-23,809733,Connor Wietgrefe,pitcher,AAA,19.28,22.76,3.48,517,348,unintended,False,
2026-07-23,815626,Ethan Bagwell,pitcher,A+,10.0,22.49,12.49,1217,361,unintended,False,
2026-07-23,691828,Sem Robberse,pitcher,A,22.04,22.46,0.42,368,363,intended,True,thin_current_sample_confidence
2026-07-23,826315,Cole Hertzler,pitcher,AA,15.07,22.41,7.34,791,366,unintended,False,moderate_thin_sample_confidence
2026-07-23,800176,Carlos Sanchez,hitter,AA,9.98,22.32,12.34,1221,372,unintended,False,
2026-07-23,806258,Thomas White,pitcher,AAA,24.68,22.1,-2.58,258,383,unintended,False,thin_current_sample_confidence
2026-07-23,699115,Carlos Jorge,hitter,AAA,10.18,21.93,11.75,1201,389,unintended,False,
2026-07-23,700731,Keiner Delgado,hitter,AAA,10.77,21.7,10.93,1149,400,unintended,False,
